region_name,year,av_sec1_all,percentage_population,language,distance,av_gdp,av_rai,democracy,diff_unemployment,shdi_score,av_selfrule,av_sharedrule,avg_policy_minorityrights,percentage_speaker
Flemish Region,2019,43.72000091552734,57.22999954223633,95,0.5,1.0166666507720947,25.5,0.8199999928474426,-2.0999999046325684,0.9399999976158142,14.0,11.5,2.180000066757202,33.7599983215332
Flemish Region,2020,43.72000091552734,57.22999954223633,95,0.5,1.0199999809265137,25.5,0.8199999928474426,-2.0999999046325684,0.9300000071525574,14.0,11.5,2.180000066757202,33.7599983215332
Flemish Region,2021,43.72000091552734,57.22999954223633,95,0.5,1.0199999809265137,25.5,0.8199999928474426,-2.4000000953674316,0.9399999976158142,14.0,11.5,2.180000066757202,33.7599983215332
Galicia,1975,4.014999985694885,5.710000038146973,70,4.929999828338623,,,0.07999999821186066,,0.8899999856948853,,,-0.9700000286102295,2.7100000381469727
Galicia,1976,4.014999985694885,5.710000038146973,70,4.929999828338623,0.8899999856948853,19.5,0.10999999940395355,,0.8899999856948853,13.0,6.5,-0.9700000286102295,2.7100000381469727
Galicia,1977,4.776666720708211,5.710000038146973,70,4.929999828338623,0.8899999856948853,19.5,0.2800000011920929,,0.8899999856948853,13.0,6.5,0.7900000214576721,2.7100000381469727
Galicia,1978,5.090000073115031,5.710000038146973,70,4.929999828338623,0.8933333158493042,19.5,0.3499999940395355,,0.8999999761581421,13.0,6.5,0.7900000214576721,2.7100000381469727
Galicia,1979,5.090000073115031,5.710000038146973,70,4.929999828338623,0.8924999833106995,19.5,0.7900000214576721,,0.8999999761581421,13.0,6.5,0.7900000214576721,2.7100000381469727
Galicia,1980,4.635000109672546,5.710000038146973,70,4.929999828338623,0.8919999837875366,19.5,0.800000011920929,,0.8899999856948853,13.0,6.5,0.7900000214576721,2.7100000381469727
Galicia,1981,4.490000009536743,5.710000038146973,70,4.929999828338623,0.8759999871253967,19.5,0.800000011920929,,0.8999999761581421,13.0,6.5,0.7900000214576721,2.7100000381469727
Galicia,1982,3.0899999141693115,5.710000038146973,70,4.929999828338623,0.8599999904632568,19.5,0.800000011920929,,0.7400000095367432,13.0,6.5,1.5,2.7100000381469727
Galicia,1983,3.1499998569488525,5.710000038146973,70,4.929999828338623,0.8399999976158142,19.9,0.8100000023841858,,0.75,13.0,6.9,1.5,2.7100000381469727
Galicia,1984,3.1499998569488525,5.710000038146973,70,4.929999828338623,0.8240000009536743,20.3,0.8100000023841858,,0.7599999904632568,13.0,7.3,1.5,2.7100000381469727
Galicia,1985,4.036666571299235,5.710000038146973,70,4.929999828338623,0.806000006198883,20.7,0.8100000023841858,,0.7699999809265137,13.0,7.7,1.5,2.7100000381469727
