unit,time,pair,cov,treat
United Kingdom,2011Q2,SH:SD,0.683624403116213,0
United Kingdom,2011Q2,SH:SE,0.013947925819132678,0
United Kingdom,2011Q2,SH:SG,0.8031301272523301,0
United Kingdom,2011Q2,SH:SH,0.1171086036051962,0
United Kingdom,2011Q2,SI:SC,0.5109267776375177,0
United Kingdom,2011Q2,SI:SD,1.2160976306539621,0
United Kingdom,2011Q2,SI:SE,0.02481192810535321,0
United Kingdom,2011Q2,SI:SG,1.4286860451532801,0
United Kingdom,2011Q2,SI:SH,0.20832418316884338,0
United Kingdom,2011Q2,SI:SI,0.370587334806545,0
United Kingdom,2011Q2,SJ:SC,2.191380831567271,0
United Kingdom,2011Q2,SJ:SD,5.2158805405578725,0
United Kingdom,2011Q2,SJ:SE,0.10641913092852476,0
United Kingdom,2011Q2,SJ:SG,6.127678858706688,0
United Kingdom,2011Q2,SJ:SH,0.8935088974177697,0
United Kingdom,2011Q2,SJ:SI,1.5894605987803923,0
United Kingdom,2011Q2,SJ:SJ,6.817245916928471,0
United Kingdom,2011Q2,SK:SC,0.182212044350374,0
United Kingdom,2011Q2,SK:SD,0.4336974398478526,0
United Kingdom,2011Q2,SK:SE,0.008848688975073455,0
United Kingdom,2011Q2,SK:SG,0.5095129408287136,0
United Kingdom,2011Q2,SK:SH,0.07429474626156167,0
United Kingdom,2011Q2,SK:SI,0.13216272632585274,0
United Kingdom,2011Q2,SK:SJ,0.5668500415212488,0
United Kingdom,2011Q2,SK:SK,0.04713325197419499,0
United Kingdom,2011Q2,SL:SC,0.12862182712634604,0
United Kingdom,2011Q2,SL:SD,0.30614308363713205,0
United Kingdom,2011Q2,SL:SE,0.006246209177359279,0
United Kingdom,2011Q2,SL:SG,0.35966055716871975,0
United Kingdom,2011Q2,SL:SH,0.0524439865878203,0
United Kingdom,2011Q2,SL:SI,0.09329246811666939,0
United Kingdom,2011Q2,SL:SJ,0.40013429577087395,0
United Kingdom,2011Q2,SL:SK,0.033270934470556436,0
United Kingdom,2011Q2,SL:SL,0.023485650452256257,0
United Kingdom,2011Q3,SC:SC,0.8849395332100088,0
United Kingdom,2011Q3,SD:SC,2.372124102712018,0
United Kingdom,2011Q3,SD:SD,6.358595754284078,0
United Kingdom,2011Q3,SE:SC,0.025754668589012295,0
United Kingdom,2011Q3,SE:SD,0.0690366605001224,0
United Kingdom,2011Q3,SE:SE,0.0007495460754519656,0
United Kingdom,2011Q3,SG:SC,2.22085770823334,0
United Kingdom,2011Q3,SG:SD,5.953118716806013,0
