country,year,gdp,Handover
US,1975,27309.8688169354,0
US,1976,28509.1430550141,0
US,1977,29528.9663683544,0
US,1978,30834.9992317542,0
US,1979,31462.1003887938,0
US,1980,31081.6216349433,0
US,1981,31559.1293394228,0
US,1982,30696.0834354928,0
US,1983,31810.921609807,0
US,1984,33818.8235513622,0
US,1985,34918.1302012407,0
US,1986,35794.8877746915,0
US,1987,36701.9453875331,0
US,1988,37889.3773471466,0
US,1989,38911.5418950729,0
US,1990,39200.0658112434,0
US,1991,38637.8398140572,0
US,1992,39447.9472855283,0
US,1993,40002.4762252856,0
US,1994,41106.9881843679,0
US,1995,41710.8207249566,0
US,1996,42783.8165697825,0
US,1997,44151.6860414367,0
US,1998,45596.4306843475,0
US,1999,47234.2455275229,0
US,2000,48616.25462578,0
US,2001,48597.4246142005,0
US,2002,48967.3661201159,0
US,2003,49905.5233074236,0
US,2004,51348.3473376223,0
US,2005,52649.5713054684,0
US,2006,53596.3152372,0
US,2007,54152.8292651299,0
US,2008,53703.9628961266,0
US,2009,51863.6183411923,0
US,2010,52821.4047643404,0
