country,year,gdp,Reunification
Spain,1970,8057.15,0
Spain,1971,8330.76,0
Spain,1972,8910.77,0
Spain,1973,9499.24,0
Spain,1974,9923.96,0
Spain,1975,9870.46,0
Spain,1976,10089.36,0
Spain,1977,10269.52,0
Spain,1978,10319.92,0
Spain,1979,10233.59,0
Spain,1980,10375.97,0
Spain,1981,10288.82,0
Spain,1982,10354.71,0
Spain,1983,10486.79,0
Spain,1984,10629.71,0
Spain,1985,10837.13,0
Spain,1986,11156.32,0
Spain,1987,11744.68,0
Spain,1988,12316.84,0
Spain,1989,12891.15,0
Spain,1990,13365.0,0
Spain,1991,13670.43,0
Spain,1992,13730.05,0
Spain,1993,13518.15,0
Spain,1994,13774.58,0
Spain,1995,14092.07,0
Spain,1996,14399.41,0
Spain,1997,14853.58,0
Spain,1998,15428.59,0
Spain,1999,16043.66,0
Spain,2000,16802.73,0
Spain,2001,17340.47,0
Spain,2002,17568.35,0
Spain,2003,17760.62,0
Sweden,1960,9067.88,0
Sweden,1961,9536.04,0
Sweden,1962,9882.41,0
Sweden,1963,10350.57,0
Sweden,1964,10974.56,0
Sweden,1965,11287.54,0
Sweden,1966,11413.91,0
Sweden,1967,11709.21,0
Sweden,1968,12066.06,0
Sweden,1969,12581.37,0
Sweden,1970,13271.49,0
Sweden,1971,13304.88,0
Sweden,1972,13570.06,0
Sweden,1973,14083.4,0
Sweden,1974,14491.32,0
Sweden,1975,14802.34,0
Sweden,1976,14905.79,0
Sweden,1977,14615.73,0
Sweden,1978,14827.87,0
Sweden,1979,15364.13,0
Sweden,1980,15589.37,0
Sweden,1981,15568.42,0
Sweden,1982,15715.74,0
Sweden,1983,15984.19,0
Sweden,1984,16602.95,0
Sweden,1985,16896.29,0
Sweden,1986,17226.29,0
Sweden,1987,17689.21,0
Sweden,1988,17985.16,0
Sweden,1989,18289.63,0
Sweden,1990,18378.03,0
Sweden,1991,18080.78,0
Sweden,1992,17808.72,0
Sweden,1993,17389.87,0
Sweden,1994,18010.02,0
Sweden,1995,18673.62,0
Sweden,1996,18996.19,0
Sweden,1997,19553.12,0
Sweden,1998,20420.35,0
Sweden,1999,21414.32,0
Sweden,2000,22394.77,0
Sweden,2001,22698.62,0
Sweden,2002,23289.95,0
Sweden,2003,23856.96,0
Switzerland,1960,13965.07,0
Switzerland,1961,14801.66,0
Switzerland,1962,15122.4,0
Switzerland,1963,15524.81,0
Switzerland,1964,16072.75,0
Switzerland,1965,16222.58,0
Switzerland,1966,16449.07,0
Switzerland,1967,16743.0,0
Switzerland,1968,17126.71,0
Switzerland,1969,17888.98,0
Switzerland,1970,18892.86,0
Switzerland,1971,19559.9,0
Switzerland,1972,20032.59,0
Switzerland,1973,20491.73,0
Switzerland,1974,20678.21,0
Switzerland,1975,19180.57,0
Switzerland,1976,19019.74,0
Switzerland,1977,19548.78,0
Switzerland,1978,19626.99,0
Switzerland,1979,20075.64,0
Switzerland,1980,20916.3,0
Switzerland,1981,21135.3,0
Switzerland,1982,20737.03,0
Switzerland,1983,20780.26,0
Switzerland,1984,21328.69,0
Switzerland,1985,22014.83,0
Switzerland,1986,22307.61,0
Switzerland,1987,22519.4,0
Switzerland,1988,23087.19,0
Switzerland,1989,23893.08,0
Switzerland,1990,24518.0,0
Switzerland,1991,23991.72,0
Switzerland,1992,23718.29,0
Switzerland,1993,23473.65,0
Switzerland,1994,23582.96,0
Switzerland,1995,23538.54,0
Switzerland,1996,23545.26,0
Switzerland,1997,24019.77,0
Switzerland,1998,24674.13,0
Switzerland,1999,24965.04,0
Switzerland,2000,25807.9,0
Switzerland,2001,26049.19,0
Switzerland,2002,25833.95,0
Switzerland,2003,25634.69,0
Turkey,1960,1991.15,0
Turkey,1961,1978.71,0
Turkey,1962,2057.28,0
Turkey,1963,2209.19,0
Turkey,1964,2260.91,0
Turkey,1965,2279.25,0
