unit,time,age,asfr,treat
East Germany,1966,42,0.00549,0
East Germany,1966,43,0.00328,0
East Germany,1966,44,0.00178,0
East Germany,1966,45,0.00079,0
East Germany,1966,46,0.00038,0
East Germany,1966,47,0.00021,0
East Germany,1966,48,0.00011,0
East Germany,1966,49,6e-05,0
East Germany,1966,50,3e-05,0
East Germany,1966,51,2e-05,0
East Germany,1966,52,1e-05,0
East Germany,1966,53,0.0,0
East Germany,1966,54,0.0,0
East Germany,1966,55,0.0,0
East Germany,1967,12,0.0,0
East Germany,1967,13,0.0,0
East Germany,1967,14,9e-05,0
East Germany,1967,15,0.00215,0
East Germany,1967,16,0.01019,0
East Germany,1967,17,0.03997,0
East Germany,1967,18,0.09533,0
East Germany,1967,19,0.15645,0
East Germany,1967,20,0.18983,0
East Germany,1967,21,0.19775,0
East Germany,1967,22,0.18769,0
East Germany,1967,23,0.17651,0
East Germany,1967,24,0.16353,0
East Germany,1967,25,0.14859,0
East Germany,1967,26,0.13541,0
East Germany,1967,27,0.12189,0
East Germany,1967,28,0.10916,0
East Germany,1967,29,0.09714,0
East Germany,1967,30,0.08532,0
East Germany,1967,31,0.07396,0
East Germany,1967,32,0.06453,0
East Germany,1967,33,0.05705,0
East Germany,1967,34,0.04977,0
East Germany,1967,35,0.04122,0
East Germany,1967,36,0.03396,0
East Germany,1967,37,0.02856,0
East Germany,1967,38,0.02257,0
East Germany,1967,39,0.01635,0
East Germany,1967,40,0.01135,0
East Germany,1967,41,0.00752,0
East Germany,1967,42,0.00476,0
East Germany,1967,43,0.00287,0
East Germany,1967,44,0.00161,0
East Germany,1967,45,0.00073,0
East Germany,1967,46,0.00031,0
East Germany,1967,47,0.00018,0
East Germany,1967,48,0.0001,0
East Germany,1967,49,5e-05,0
East Germany,1967,50,3e-05,0
East Germany,1967,51,1e-05,0
East Germany,1967,52,1e-05,0
East Germany,1967,53,0.0,0
East Germany,1967,54,0.0,0
East Germany,1967,55,0.0,0
East Germany,1968,12,0.0,0
