unit,time,y,treat
Luxembourg,2011-11,6.10356369,0
Malaysia,2011-11,7.23362659,0
Malta,2011-11,-0.72962624,0
Mexico,2011-11,6.78304205,0
Moldova,2011-11,8.82800609,0
Mongolia,2011-11,7.9,0
Montenegro,2011-11,2.8,0
Morocco,2011-11,15.92039801,0
Netherlands,2011-11,8.56864654,0
North Macedonia,2011-11,7.74275688,0
Norway,2011-11,12.89398281,0
Pakistan,2011-11,11.95556671,0
Paraguay,2011-11,7.01819098,0
Philippines,2011-11,2.49376559,0
Poland,2011-11,9.1,0
Portugal,2011-11,3.87718512,0
Romania,2011-11,6.19320565,0
Serbia,2011-11,10.33114587,0
Singapore,2011-11,7.86345503,0
Slovakia,2011-11,3.73931624,0
Slovenia,2011-11,3.59833577,0
South Korea,2011-11,5.13030148,0
Spain,2011-11,6.20075453,0
Sweden,2011-11,0.0,0
Switzerland,2011-11,-2.20131983,0
Thailand,2011-11,3.51906158,0
Tunisia,2011-11,7.17092338,0
Ukraine,2011-11,17.3,0
United Kingdom,2011-11,7.2327044,0
United States,2011-11,3.7037037,0
China,2011-12,1.6854,0
Armenia,2011-12,9.67549952,0
Belgium,2011-12,5.63380282,0
Bosnia and Herzegovina,2011-12,1.4,0
Bulgaria,2011-12,4.00519074,0
Canada,2011-12,4.00457666,0
Chile,2011-12,-7.44580584,0
Colombia,2011-12,8.65184536,0
Croatia,2011-12,5.2,0
Cyprus,2011-12,6.85224839,0
Czech Republic,2011-12,4.50819672,0
Denmark,2011-12,3.95683453,0
Ecuador,2011-12,3.06210333,0
Egypt,2011-12,9.15254237,0
Estonia,2011-12,2.99735527,0
European Union,2011-12,3.97727273,0
Finland,2011-12,1.352657,0
France,2011-12,3.46368715,0
Georgia,2011-12,7.5384,0
Germany,2011-12,3.47624565,0
Ghana,2011-12,13.64558446,0
Greece,2011-12,5.67800816,0
Hungary,2011-12,7.5,0
Iceland,2011-12,6.748446,0
India,2011-12,7.73972603,0
Ireland,2011-12,2.11480363,0
Israel,2011-12,6.89655173,0
Italy,2011-12,4.98301246,0
Japan,2011-12,0.71942446,0
Jordan,2011-12,13.9610887,0
Kazakhstan,2011-12,20.3,0
Kuwait,2011-12,0.86878109,0
Kyrgyzstan,2011-12,14.97864279,0
Latvia,2011-12,6.5,0
Lithuania,2011-12,8.7,0
Luxembourg,2011-12,6.86322848,0
Malaysia,2011-12,5.54493308,0
Malta,2011-12,-0.61119874,0
Mexico,2011-12,6.91296103,0
Moldova,2011-12,8.13253012,0
Mongolia,2011-12,0.5,0
Montenegro,2011-12,1.0,0
Morocco,2011-12,13.43075852,0
Netherlands,2011-12,6.60287081,0
North Macedonia,2011-12,7.68998597,0
Norway,2011-12,8.08219178,0
Pakistan,2011-12,8.32717873,0
Paraguay,2011-12,4.90254133,0
Philippines,2011-12,1.47783251,0
Poland,2011-12,8.2,0
Portugal,2011-12,2.68233208,0
Romania,2011-12,6.03915035,0
Serbia,2011-12,9.74334288,0
Singapore,2011-12,5.23976147,0
Slovakia,2011-12,3.19829424,0
Slovenia,2011-12,3.54816977,0
South Korea,2011-12,4.26285946,0
