country,country_code,year,fdi,treated,log_gdp,log_gdp_percap,import_to_gdp,export_to_gdp,inflation_gdp_deflator,gross_capital_forma_gdp,unemployment,employment_15,log_population
Mexico,MEX,2019,2.29436587637802,0,27.877486790004582,9.232980239527029,38.8993639815331,38.4970333000564,104.25944006147,22.1193508848325,3.477,59.038,18.64450655047755
Mexico,MEX,2020,2.81250945059337,0,27.787293384117824,9.135514395483357,37.6268298852866,39.2434324403369,109.283664618319,20.2069509674439,4.441,53.977,18.651778988634472
Mexico,MEX,2021,2.57012369225071,0,27.843098962032556,9.18572576507723,42.6133823306841,40.6773203628452,114.241528483515,21.6167459002687,4.019,57.486,18.657373196955326
Mexico,MEX,2022,2.67224845674771,0,27.881829170283343,9.218169895302756,45.6874453307709,42.761030737711,121.601130225191,22.7047413107517,3.256,59.013,18.663659274980585
New Zealand,NZL,1995,4.45872926488881,0,25.357144514619442,10.24051629294287,27.5208861548693,29.3933663078266,65.2120787113775,23.6533106114136,6.461,60.567,15.11662822167657
New Zealand,NZL,1996,5.58678410842227,0,25.39261660026051,10.260161759311142,26.7672921138268,28.3488788439284,66.1211808226169,23.1451716600231,6.29,61.474,15.132454840949372
New Zealand,NZL,1997,2.90193360450632,0,25.413194924571524,10.267616500757159,26.9264895291704,28.3203739922721,67.1539457516055,22.9289700901589,6.857,60.96,15.14557842381436
New Zealand,NZL,1998,3.24713619205231,0,25.421748980208633,10.267297757507938,28.2786961975549,29.6173216258214,67.8594108207943,20.8114129519031,7.718,60.019,15.154451222700695
New Zealand,NZL,1999,1.60215774882124,0,25.47411333205639,10.314407263993568,30.4506795962165,30.9505515371504,68.2573212455902,23.2325640957705,7.023,60.549,15.159706068062826
New Zealand,NZL,2000,-2.86529455631185,0,25.502414938746288,10.336833229819645,32.7714683867522,35.7454584901409,70.2260939875467,22.0345630387436,6.13,61.241,15.16558170892664
New Zealand,NZL,2001,0.481362352602515,0,25.535960644558582,10.364486075282253,31.8027845111567,35.4310398408851,72.9374642901123,22.9520169059606,5.433,62.218,15.17147456927633
New Zealand,NZL,2002,4.27533253207987,0,25.582021785142036,10.393175467222267,29.8089228515842,32.8470717038637,73.1548590214881,22.7465398243836,5.282,62.998,15.188846317919772
New Zealand,NZL,2003,-3.81179323818467,0,25.628227352535788,10.419645449172599,28.0750439440285,29.8397254017245,74.668006738175,24.128385766287,4.745,63.151,15.20858190336319
New Zealand,NZL,2004,2.2326303912504,0,25.668296356258132,10.444852262070485,29.2561416675833,29.5434106069527,76.7278893921398,25.2816076708571,4.005,64.227,15.223444094187647
New Zealand,NZL,2005,1.66201517661775,0,25.701278819657105,10.466546990372656,29.7335780086782,28.2851654320382,78.2626531567297,25.4208681883182,3.807,65.092,15.234731829284446
New Zealand,NZL,2006,2.61132933725814,0,25.728695244665424,10.481773566778134,29.9946512871794,29.6086137531685,80.3834414092389,23.7593311783447,3.857,65.558,15.246921677887288
New Zealand,NZL,2007,3.16024444752483,0,25.758738497616626,10.50249274285421,29.1520466269894,29.2731139479196,84.6568172678339,24.7759451018626,3.661,65.925,15.25624575476241
