idunico,Year,policial,presence_strength,co_num,war
11028,2019,0,3,3,1
11028,2020,0,3,3,1
11028,2021,0,3,2,1
11029,2000,0,0,0,0
11029,2001,0,0,0,0
11029,2002,0,0,0,0
11029,2003,0,0,0,0
11029,2004,0,0,0,0
11029,2005,0,0,0,0
11029,2006,0,0,0,0
11029,2007,0,0,0,0
11029,2008,0,0,0,0
11029,2009,0,0,0,0
11029,2010,0,2,1,0
11029,2011,0,0,0,0
11029,2012,0,0,0,0
11029,2013,0,0,0,0
11029,2014,0,0,0,0
11029,2015,0,1,1,0
11029,2016,0,1,1,0
11029,2017,0,1,1,0
11029,2018,0,1,1,0
11029,2019,0,1,1,0
11029,2020,0,0,0,0
11029,2021,0,2,1,0
11030,2000,0,0,0,0
11030,2001,0,0,0,0
11030,2002,0,0,0,0
11030,2003,0,0,0,0
11030,2004,0,0,0,0
11030,2005,0,0,0,0
11030,2006,0,0,0,0
11030,2007,0,0,0,0
11030,2008,0,0,0,0
11030,2009,0,0,0,0
11030,2010,0,0,0,0
11030,2011,0,0,0,0
11030,2012,0,2,1,0
11030,2013,0,0,0,0
11030,2014,0,0,0,0
11030,2015,0,0,0,0
11030,2016,0,0,0,0
11030,2017,0,0,0,0
11030,2018,0,0,0,0
11030,2019,0,2,1,0
11030,2020,0,2,1,0
11030,2021,0,2,1,0
11031,2000,0,0,0,0
11031,2001,0,0,0,0
11031,2002,0,0,0,0
11031,2003,0,0,0,0
11031,2004,0,0,0,0
11031,2005,0,0,0,0
11031,2006,0,0,0,0
11031,2007,0,0,0,0
11031,2008,0,2,1,0
11031,2009,0,2,1,0
11031,2010,0,2,1,0
11031,2011,0,2,1,0
11031,2012,0,2,2,1
11031,2013,0,2,1,0
11031,2014,0,3,1,0
11031,2015,0,3,1,0
11031,2016,0,3,1,0
11031,2017,0,3,1,0
11031,2018,0,3,1,0
11031,2019,0,3,1,0
11031,2020,0,3,1,0
11031,2021,0,3,2,1
11032,2000,0,0,0,0
11032,2001,0,0,0,0
11032,2002,0,0,0,0
11032,2003,0,0,0,0
11032,2004,0,0,0,0
11032,2005,0,0,0,0
11032,2006,0,0,0,0
11032,2007,0,0,0,0
11032,2008,0,0,0,0
11032,2009,0,0,0,0
11032,2010,0,2,1,0
11032,2011,0,2,1,0
11032,2012,0,2,2,1
11032,2013,0,2,2,1
11032,2014,0,2,2,1
11032,2015,0,1,1,0
11032,2016,0,2,2,1
11032,2017,0,2,2,1
11032,2018,0,2,2,1
11032,2019,0,3,3,1
11032,2020,0,3,2,1
11032,2021,0,2,2,1
11003,2000,0,2,1,0
11003,2001,0,2,1,0
11003,2002,0,2,1,0
11003,2003,0,2,1,0
11003,2004,0,2,1,0
11003,2005,0,2,1,0
11003,2006,0,2,1,0
11003,2007,0,2,1,0
11003,2008,0,2,1,0
11003,2009,0,2,2,0
11003,2010,0,2,2,0
11003,2011,0,2,2,0
11003,2012,0,2,3,1
11003,2013,0,2,3,1
11003,2014,0,2,3,1
11003,2015,0,1,1,0
11003,2016,0,1,1,0
11003,2017,0,2,2,1
11003,2018,0,2,2,1
11003,2019,0,2,3,1
11003,2020,0,2,2,1
11003,2021,0,2,1,0
11035,2000,0,0,0,0
11035,2001,0,0,0,0
11035,2002,0,0,0,0
11035,2003,0,0,0,0
11035,2004,0,0,0,0
11035,2005,0,0,0,0
11035,2006,0,0,0,0
11035,2007,0,0,0,0
11035,2008,0,0,0,0
11035,2009,0,0,0,0
11035,2010,0,2,1,0
11035,2011,0,2,2,1
11035,2012,0,0,0,0
11035,2013,0,0,0,0
11035,2014,0,3,1,0
11035,2015,0,3,1,0
11035,2016,0,3,1,0
11035,2017,0,3,1,0
11035,2018,0,3,1,0
11035,2019,0,3,2,1
11035,2020,0,3,2,1
11035,2021,0,3,2,1
11036,2000,0,0,0,0
11036,2001,0,0,0,0
11036,2002,0,0,0,0
11036,2003,0,0,0,0
11036,2004,0,0,0,0
11036,2005,0,0,0,0
11036,2006,0,0,0,0
11036,2007,0,0,0,0
11036,2008,0,0,0,0
11036,2009,0,0,0,0
11036,2010,0,0,0,0
11036,2011,0,0,0,0
11036,2012,0,0,0,0
11036,2013,0,0,0,0
11036,2014,0,0,0,0
11036,2015,0,0,0,0
11036,2016,0,0,0,0
11036,2017,0,0,0,0
11036,2018,0,0,0,0
11036,2019,0,2,1,0
11036,2020,0,2,1,0
11036,2021,0,2,1,0
11037,2000,0,0,0,0
11037,2001,0,0,0,0
11037,2002,0,0,0,0
11037,2003,0,0,0,0
11037,2004,0,0,0,0
11037,2005,0,0,0,0
11037,2006,0,0,0,0
11037,2007,0,0,0,0
11037,2008,0,0,0,0
11037,2009,0,2,1,0
11037,2010,0,2,2,1
11037,2011,0,2,1,0
11037,2012,0,2,2,1
11037,2013,0,2,2,1
11037,2014,0,2,1,0
11037,2015,0,2,2,1
11037,2016,0,2,2,1
11037,2017,0,2,3,1
11037,2018,0,3,3,1
11037,2019,0,3,5,1
11037,2020,0,3,2,1
11037,2021,0,3,1,0
11039,2000,0,0,0,0
11039,2001,0,0,0,0
11039,2002,0,0,0,0
11039,2003,0,0,0,0
11039,2004,0,0,0,0
11039,2005,0,0,0,0
11039,2006,0,0,0,0
11039,2007,0,0,0,0
11039,2008,0,0,0,0
11039,2009,0,2,1,0
11039,2010,0,2,1,0
11039,2011,0,2,2,1
11039,2012,0,2,2,1
11039,2013,0,2,3,1
11039,2014,0,2,3,1
11039,2015,0,2,4,1
11039,2016,1,2,3,1
11039,2017,1,3,2,1
11039,2018,1,3,2,1
11039,2019,1,3,2,1
11039,2020,1,3,2,1
11039,2021,1,3,1,0
11040,2000,0,0,0,0
11040,2001,0,0,0,0
11040,2002,0,0,0,0
11040,2003,0,0,0,0
11040,2004,0,0,0,0
11040,2005,0,0,0,0
11040,2006,0,0,0,0
11040,2007,0,0,0,0
11040,2008,0,0,0,0
11040,2009,0,0,0,0
11040,2010,0,0,0,0
11040,2011,0,0,0,0
11040,2012,0,0,0,0
11040,2013,0,0,0,0
11040,2014,0,0,0,0
11040,2015,0,0,0,0
11040,2016,0,0,0,0
11040,2017,0,0,0,0
11040,2018,0,0,0,0
11040,2019,0,0,0,0
11040,2020,0,2,1,0
11040,2021,0,0,0,0
11041,2000,0,0,0,0
11041,2001,0,0,0,0
11041,2002,0,0,0,0
11041,2003,0,0,0,0
