outcome,T/N,N,T,S,event time,att estimate,confidence interval_l,confidence interval_u
hom_ym_rate,5.27272727272727,33,174,78,69,-1.21237404051159,-1.98441396906435,-0.588363824536715
hom_ym_rate,5.27272727272727,33,174,78,70,-0.0659341476413719,-0.837974076194129,0.558076068333502
hom_ym_rate,5.27272727272727,33,174,78,71,1.63233040276998,0.860290474217221,2.25634061874485
hom_ym_rate,5.27272727272727,33,174,78,72,1.83285344703959,1.06081351848683,2.45686366301446
hom_ym_rate,5.27272727272727,33,174,78,73,-0.0286714380562173,-0.917491572104557,0.595338777918656
hom_ym_rate,5.27272727272727,33,174,78,74,3.3762217632898,2.48740162924146,4.00023197926467
hom_ym_rate,5.27272727272727,33,174,78,75,3.82129948865862,2.93247935461028,4.46047839896243
hom_ym_rate,5.27272727272727,33,174,78,76,0.593495046933541,-0.295325087114799,1.23267395723735
hom_ym_rate,5.27272727272727,33,174,78,77,2.17112060018656,1.28230046613822,2.81809181687275
hom_ym_rate,5.27272727272727,33,174,78,78,4.16435936783889,3.14293027515051,4.8720010667372
theft_violent_rate,1.27272727272727,33,42,90,1,-0.898187132423928,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,2,-1.61468375220871,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,3,-2.03257359030925,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,4,-2.02938974785654,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,5,-1.10708772725973,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,6,-1.26389356753328,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,7,-1.31345400811601,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,8,-2.12563466909557,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,9,-1.6648380813372,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,10,-1.62168154619959,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,11,-1.59826723130168,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,12,-2.14532380232639,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,13,-2.14382735966429,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,14,-1.98273319868299,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,15,-1.76889471784065,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,16,-1.81607039233993,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,17,-0.841114483322388,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,18,-1.48954522279004,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,19,-1.83165215423628,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,20,-2.10769675376604,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,21,-1.05009069289994,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,22,-1.48104475214922,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,23,-1.84812316920257,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,24,-2.08345000955937,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,25,-0.13886844043359,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,26,-1.27164155856305,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,27,-2.08678276975606,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,28,-2.79486230261374,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,29,-2.31620903741966,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,30,-2.42929093581391,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,31,-1.45462220319778,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,32,-1.91617857699014,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,33,-2.85686635987597,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,34,-2.34036757829415,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,35,-3.15513318564912,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,36,-2.7882391282977,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,37,-2.80952399118355,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,38,-1.46000287537704,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,39,-2.0704685418058,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,40,-3.02654206880987,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,41,-2.4419089487228,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,42,-2.55443505816345,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,43,-2.48320215029026,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,44,-2.31659771865058,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,45,-2.14597646007355,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,46,-2.36690143678315,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,47,-2.41868284853108,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,48,-3.0105646716359,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,49,-1.67247549467011,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,50,-2.45713791714952,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,51,-1.14431216109107,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,52,-1.76538667064907,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,53,-2.16202412137419,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,54,-1.86311473001182,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,55,-2.5426978448543,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,56,-1.94975546059802,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,57,-0.959569190611396,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,58,-2.14762209698663,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,59,-1.39741133926451,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,60,-2.29314022520883,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,61,-1.27249855005775,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,62,-1.66234014256101,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,63,-1.19357709282975,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,64,-0.928383589353876,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,65,-1.32707116201254,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,66,-1.00992013077659,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,67,-1.84593423875493,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,68,-0.832663422373035,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,69,-0.830281297522251,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,70,-0.919285906520062,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,71,-1.06075661517599,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,72,-1.13574777216642,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,73,-1.21163437990488,NaN,NaN
theft_violent_rate,1.27272727272727,33,42,90,74,-1.02754151167067,NaN,NaN
