"dates" "sat" "sun" "hol" "excl.dates"
"504" "2019-01-17" 0 0 0 0
"505" "2019-01-18" 0 0 0 0
"506" "2019-01-19" 1 0 0 0
"507" "2019-01-20" 0 1 0 0
"508" "2019-01-21" 0 0 0 0
"509" "2019-01-22" 0 0 0 0
"510" "2019-01-23" 0 0 0 0
"511" "2019-01-24" 0 0 0 0
"512" "2019-01-25" 0 0 0 0
"513" "2019-01-26" 1 0 0 0
"514" "2019-01-27" 0 1 0 0
"515" "2019-01-28" 0 0 0 0
"516" "2019-01-29" 0 0 0 0
"517" "2019-01-30" 0 0 0 0
"518" "2019-01-31" 0 0 0 0
"519" "2019-02-01" 0 0 0 0
"520" "2019-02-02" 1 0 0 0
"521" "2019-02-03" 0 1 0 0
"522" "2019-02-04" 0 0 0 0
"523" "2019-02-05" 0 0 0 0
"524" "2019-02-06" 0 0 0 0
"525" "2019-02-07" 0 0 0 0
"526" "2019-02-08" 0 0 0 0
"527" "2019-02-09" 1 0 0 0
"528" "2019-02-10" 0 1 0 0
"529" "2019-02-11" 0 0 0 0
"530" "2019-02-12" 0 0 0 0
"531" "2019-02-13" 0 0 0 0
"532" "2019-02-14" 0 0 0 0
"533" "2019-02-15" 0 0 0 0
"534" "2019-02-16" 1 0 0 0
"535" "2019-02-17" 0 1 0 0
"536" "2019-02-18" 0 0 0 0
"537" "2019-02-19" 0 0 0 0
"538" "2019-02-20" 0 0 0 0
"539" "2019-02-21" 0 0 0 0
"540" "2019-02-22" 0 0 0 0
"541" "2019-02-23" 1 0 0 0
"542" "2019-02-24" 0 1 0 0
"543" "2019-02-25" 0 0 0 0
"544" "2019-02-26" 0 0 0 0
"545" "2019-02-27" 0 0 0 0
"546" "2019-02-28" 0 0 0 0
"547" "2019-03-01" 0 0 0 0
"548" "2019-03-02" 1 0 0 0
"549" "2019-03-03" 0 1 0 0
"550" "2019-03-04" 0 0 0 0
"551" "2019-03-05" 0 0 0 0
"552" "2019-03-06" 0 0 0 0
"553" "2019-03-07" 0 0 0 0
"554" "2019-03-08" 0 0 0 0
